Synthase,Length (aa),Architecture,Classification
RAK81267.1,404,KS,PKS|Type III
RAK80831.1,2377,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK80374.1,2167,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAK80302.1,2195,KS-AT-DH-ACP-ACP-MT-TE,PKS|Type I|Partially-reducing
RAK80213.1,2603,KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
RAK79975.1,428,KS,Thiolase
RAK79442.1,2184,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAK79441.1,1876,KS-AT-PT-ACP-ACP-MT,PKS|Type I|Non-reducing
RAK79058.1,2602,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAK79032.1,1778,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAK78840.1,2466,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK78070.1,2900,KS-AT-DH-MT-KR-ACP-TR,PKS|Type I|Partially-reducing
RAK77792.1,2502,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK77710.1,2661,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RAK77236.1,2974,KS-AT-DH-MT-KR-ACP-C,Hybrid PKS-NRPS
RAK76642.1,2494,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAK76583.1,2540,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK76031.1,413,KS,Thiolase
RAK75206.1,3892,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAK75155.1,428,KS,Fatty acid synthase
RAK74698.1,2381,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK74691.1,1938,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK74643.1,2449,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK74480.1,3934,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAK74469.1,2598,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK74424.1,1796,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAK74308.1,2430,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK73349.1,421,KS,Thiolase
RAK72101.1,458,KS,Thiolase
RAK71799.1,399,KS,Thiolase
RAK71706.1,2328,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK71664.1,1640,SAT-KS-AT-PT-ACP-ACP,PKS|Type I|Non-reducing
RAK71636.1,419,KS,Thiolase
RAK71486.1,1675,AT-KR-KS,Fatty acid synthase
RAK71379.1,2514,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAK71124.1,3212,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAK71065.1,1808,KS-AT-MT,PKS|Type I
RAH87411.1,2462,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH86821.1,2550,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAH86337.1,307,KS,PKS
RAH86327.1,2473,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH85882.1,377,KS,Thiolase
RAH85722.1,419,KS,Thiolase
RAH85066.1,2143,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAH84817.1,2387,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH84285.1,1287,KS-AT-DH,PKS|Type I|Partially-reducing
RAH84283.1,2436,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH84207.1,3932,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAH84189.1,421,KS,Thiolase
RAH84088.1,458,KS,Thiolase
RAH83134.1,2493,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAH82805.1,403,KS,PKS|Type III
RAH82421.1,2879,KS-AT-DH-MT-KR-ACP-TR,PKS|Type I|Partially-reducing
RAH81782.1,2608,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH81750.1,3970,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAH81733.1,1788,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAH81576.1,2408,KS-AT-DH-ER-KR-ACP-TE,PKS|Type I|Highly-reducing
RAH80851.1,2538,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH80494.1,2381,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH79988.1,421,KS,Thiolase
RAH79597.1,2258,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH79243.1,2440,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAH78917.1,2433,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH78884.1,3919,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAH78259.1,419,KS,Thiolase
RAH78042.1,2322,KS-AT-PT-ACP-ACP-MT-TR,PKS|Type I|Non-reducing
RAH78041.1,2188,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAH77438.1,428,KS,Fatty acid synthase
RAH76911.1,2163,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAH76895.1,4011,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAH76705.1,3723,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAH76557.1,2574,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAH75956.1,413,KS,Thiolase
RAH75857.1,2720,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH75768.1,1795,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
RAH75583.1,2494,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAH75492.1,2831,KS-AT-DH-C-A-T-R,Hybrid PKS-NRPS
RAH74960.1,2548,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH74700.1,1808,KS-AT-MT,PKS|Type I
RAH74628.1,458,KS,Thiolase
RAH74523.1,421,KS,Thiolase
RAH73844.1,2579,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAH73756.1,2107,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAH72474.1,2847,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RAH71709.1,2562,KS-AT-DH-KR,PKS|Type I|Partially-reducing
RAH71564.1,419,KS,Thiolase
RAH70973.1,399,KS,Thiolase
RAH70364.1,2899,KS-AT-DH-MT-KR-ACP-TR,PKS|Type I|Partially-reducing
RAH70203.1,2525,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAH70054.1,2487,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH70041.1,3212,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH69705.1,2312,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH69498.1,4014,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAH69481.1,2166,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAH69438.1,3921,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAH69388.1,2447,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH69318.1,2598,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH69276.1,1782,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAH68992.1,413,KS,Thiolase
RAH68722.1,404,KS,PKS|Type III
RAH68494.1,2452,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAH68389.1,2476,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH68387.1,2516,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH68108.1,2377,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH67996.1,421,KS,Thiolase
RAH67812.1,2443,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH67376.1,2323,KS-AT-PT-ACP-ACP-MT-TR,PKS|Type I|Non-reducing
RAH67375.1,2185,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAH67332.1,2900,KS-AT-DH-MT-KR-ACP-C,Hybrid PKS-NRPS
RAH65909.1,2385,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH65811.1,428,KS,Fatty acid synthase
RAH64894.1,1891,KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAH64734.1,1925,KS-AT-DH-ACP-ACP-MT-TE,PKS|Type I|Partially-reducing
RAH64728.1,1795,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
RAH64472.1,2381,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH64465.1,2525,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH64406.1,2434,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH64074.1,2109,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAH64046.1,419,KS,Thiolase
RAH63752.1,2551,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAH63547.1,2751,KS-AT-DH-ER-KR-ACP-C,Hybrid PKS-NRPS
RAH63430.1,2532,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAH63166.1,2353,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH62684.1,2489,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH62654.1,2150,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAH62397.1,413,KS,Thiolase
RAH62166.1,2304,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH61845.1,458,KS,Thiolase
RAH61717.1,2489,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH61638.1,2147,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAH61613.1,2596,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH61359.1,2393,KS-AT-PT-ACP-MT-TE,PKS|Type I|Non-reducing
RAH61318.1,1745,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAH61227.1,418,KS,Thiolase
RAH60643.1,2988,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RAH60548.1,2468,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH60545.1,2331,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH60136.1,2179,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH59808.1,421,KS,Thiolase
RAH59477.1,2559,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH59083.1,2200,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH58516.1,2404,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH58428.1,2563,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH58126.1,2477,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAH57475.1,1264,A-T-KS-AT,Hybrid PKS-NRPS
RAH57308.1,419,KS,Thiolase
RAH56728.1,2332,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH56607.1,399,KS,Thiolase
RAH56156.1,2649,A-T-KS-AT-ACP,Hybrid PKS-NRPS
RAH55637.1,428,KS,Fatty acid synthase
RAH55383.1,2576,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH55380.1,2391,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH55369.1,1811,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAH55304.1,3911,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAH55131.1,2318,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH54704.1,2239,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH54622.1,2483,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH54484.1,2570,KR-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
RAH54430.1,2488,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH54236.1,2347,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH53662.1,2353,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH53656.1,2853,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RAH53479.1,3934,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAH53441.1,2356,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH53081.1,3493,KS-AT-DH-MT-KR-ACP-C-A-T,Hybrid PKS-NRPS
RAH53019.1,337,KS-AT,PKS|Type I
RAH52831.1,2642,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH52722.1,1565,SAT-KS-AT-PT,PKS|Type I|Non-reducing
RAH52503.1,2435,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH52105.1,3928,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAH52079.1,426,KS,Thiolase
RAH51144.1,404,KS,PKS|Type III
RAH50676.1,2436,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH49616.1,2601,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAH48855.1,2576,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAH48728.1,2970,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RAH48462.1,2142,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAH47735.1,2935,KS-AT-DH-MT-KR-ACP-C,Hybrid PKS-NRPS
RAH47564.1,830,KS-AT,PKS|Type I
RAH47485.1,2546,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH46937.1,399,KS,Thiolase
RAH46880.1,421,KS,Thiolase
RAH46783.1,458,KS,Thiolase
RAH46587.1,2540,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH45928.1,428,KS,Fatty acid synthase
RAH45273.1,2526,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH44773.1,2561,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAH44629.1,1265,TE-KS-AT-ER-KR-ACP,PKS|Type I|Partially-reducing
RAH44575.1,3921,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAH44536.1,2171,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RAH43536.1,428,KS,Thiolase
RAH43267.1,419,KS,Thiolase
RAH43138.1,2379,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH43070.1,1756,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
RAH43036.1,2387,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH42533.1,2461,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAH42322.1,2370,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH41845.1,2369,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH41341.1,2322,KS-AT-PT-ACP-ACP-MT-TR,PKS|Type I|Non-reducing
RAH41340.1,2184,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAH41249.1,1796,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAH41218.1,2900,KS-AT-DH-MT-KR-ACP-TR,PKS|Type I|Partially-reducing
RAH41065.1,2345,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH41004.1,2372,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RAH40750.1,2493,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RAH40704.1,413,KS,Thiolase
RAH40566.1,2384,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH40555.1,2582,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH40505.1,2598,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RAH39758.1,1778,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RAH39746.1,3975,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RAH39575.1,419,KS,Thiolase
PYI36630.1,2399,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI36020.1,2396,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI35874.1,2322,KS-AT-PT-ACP-ACP-MT-TR,PKS|Type I|Non-reducing
PYI35873.1,2188,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYI35790.1,2548,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI35482.1,2575,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI34926.1,2189,KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
PYI34712.1,419,KS,Thiolase
PYI34570.1,2470,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI34250.1,2479,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYI33512.1,2440,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYI33458.1,2556,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI33455.1,2405,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI33402.1,3856,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI33371.1,4011,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI33353.1,2167,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYI33193.1,421,KS,Thiolase
PYI32902.1,2143,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYI32700.1,2518,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI32692.1,2586,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI32372.1,2567,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PYI32255.1,2439,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI32253.1,2458,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI32190.1,3983,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI31855.1,1794,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
PYI31660.1,2384,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI31608.1,1771,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
PYI31503.1,2602,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI31459.1,3954,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI31454.1,2481,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI31307.1,2434,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI31215.1,421,KS,Thiolase
PYI30442.1,458,KS,Thiolase
PYI29923.1,2861,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
PYI29622.1,2387,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI29363.1,420,KS,Fatty acid synthase
PYI29129.1,413,KS,Thiolase
PYI29014.1,2901,KS-AT-DH-MT-KR-ACP-TR,PKS|Type I|Partially-reducing
PYI27831.1,2583,A-T-KS-AT-KR-ACP-R,Hybrid PKS-NRPS
PYI27617.1,2493,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYI27222.1,419,KS,Thiolase
PYI26893.1,2378,KS-AT-DH-MT-ER-KR,PKS|Type I|Highly-reducing
PYI26785.1,2553,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI25879.1,4046,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI25138.1,2552,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PYI25061.1,399,KS,Thiolase
PYI24858.1,383,KS,PKS|Type III
PYI24538.1,2440,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI24390.1,403,KS,PKS|Type III
PYI24168.1,1706,KS-DH-ER-KR-ACP,PKS
PYI23983.1,2572,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI23452.1,1196,KS-AT-DH,PKS|Type I|Partially-reducing
PYI23450.1,2436,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI23423.1,1657,AT-KR-KS,Fatty acid synthase
PYI23416.1,428,KS,Fatty acid synthase
PYI22910.1,2076,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYI22494.1,419,KS,Thiolase
PYI21502.1,438,KS,Thiolase
PYI20954.1,458,KS,Thiolase
PYI20858.1,2396,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI20648.1,413,KS,Thiolase
PYI20366.1,428,KS,Thiolase
PYI20253.1,2167,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYI20237.1,4011,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI20205.1,3919,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI20162.1,2277,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI19445.1,2388,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI19081.1,2556,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYI17681.1,421,KS,Thiolase
PYI17556.1,2900,KS-AT-DH-MT-KR-ACP-TR,PKS|Type I|Partially-reducing
PYI17087.1,2493,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYI16870.1,3909,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI16631.1,2561,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI16454.1,2188,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYI16453.1,2234,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PYI16370.1,2574,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PYI16208.1,2384,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI15717.1,1751,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
PYI14953.1,399,KS,Thiolase
PYI14665.1,2603,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI14633.1,3970,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI14335.1,1788,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
PYI14036.1,2512,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYI13904.1,2587,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI13894.1,519,KS-AT,PKS|Type I
PYI13694.1,3814,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI12621.1,2485,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI12619.1,2298,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI12323.1,3711,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI12236.1,2152,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYI11208.1,2471,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI11050.1,431,KS,Thiolase
PYI10942.1,3928,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI10693.1,2365,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI10556.1,413,KS,Thiolase
PYI10342.1,458,KS,Thiolase
PYI09963.1,3931,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI09750.1,1991,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
PYI09473.1,2297,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI09332.1,2121,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYI09179.1,2591,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI08862.1,2524,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI08713.1,418,KS,Thiolase
PYI08366.1,4313,ER-KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI08361.1,2564,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI08203.1,421,KS,Thiolase
PYI07708.1,2363,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI07074.1,2464,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYI07025.1,2346,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI06809.1,2507,KS-AT-PT-ACP-MT-TE,PKS|Type I|Non-reducing
PYI06457.1,2406,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI06422.1,419,KS,Thiolase
PYI06276.1,399,KS,Thiolase
PYI05349.1,2636,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI04412.1,2507,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI04018.1,2340,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI03858.1,2445,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI03687.1,2428,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYI02720.1,3979,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI02699.1,2120,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYI02638.1,2557,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PYI02487.1,2455,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI02380.1,2278,SAT-KS-AT-PT-ACP-TR,PKS|Type I|Non-reducing
PYI02377.1,2550,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
